facility,facility_name,betweenness,pagerank,clustering_coeff,in_degree,out_degree,weighted_in_degree,weighted_out_degree,in_legs,in_excess_minutes,in_late_legs,out_legs,out_excess_minutes,out_late_legs,legs_touched,late_legs_touched,excess_minutes_touched,sla_contribution_pct,betweenness_score,weighted_in_degree_score,weighted_out_degree_score,excess_minutes_touched_score,chokepoint_score
IND530026AAA,Vizag_Gajuwaka (Andhra Pradesh),0.0,0.00017023117673190812,0.0,0,1,0,4,0.0,0.0,0.0,4.0,37.08729838709678,2.0,4.0,2.0,37.08729838709678,0.006761438454340673,0.0,0.0,0.005215123859191656,0.0011221858368396188,0.0013235712310482358
IND133004AAA,Ambala (Haryana),0.0,0.00017023117673190812,0.0,0,1,0,5,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.00651890482398957,0.0,0.0013037809647979141
IND242307AAB,Tilhar_SingCLNY_D (Uttar Pradesh),0.0,0.00017023117673190812,0.0,0,1,0,5,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.00651890482398957,0.0,0.0013037809647979141
IND505001AAA,Karimnagar_DC (Telangana),0.0,0.00017023117673190812,0.0,0,1,0,5,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.00651890482398957,0.0,0.0013037809647979141
IND625532AAA,Usilampatti_MrutiNGR_D (Tamil Nadu),0.0,0.00017023117673190812,0.0,0,1,0,5,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.00651890482398957,0.0,0.0013037809647979141
IND636352AAA,Thoppur_HghsclRD_D (Tamil Nadu),0.0,0.00017023117673190812,0.0,0,1,0,5,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.00651890482398957,0.0,0.0013037809647979141
IND676306AAA,Tirurangadi_Kooriyad_D (Kerala),0.0,0.00017023117673190812,0.0,0,1,0,5,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.00651890482398957,0.0,0.0013037809647979141
IND721501AAC,AmaDubi_Bulabeda_D (West Bengal),0.0,0.00017023117673190812,0.0,0,1,0,5,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.00651890482398957,0.0,0.0013037809647979141
IND442001AAA,Wardha_RamaNgr_D (Maharashtra),0.0,0.00017023117673190812,0.0,0,1,0,4,0.0,0.0,0.0,4.0,33.61538461538463,3.0,4.0,3.0,33.61538461538463,0.0061284688850506966,0.0,0.0,0.005215123859191656,0.0010171328232531853,0.0012973079776516273
IND600016AAA,Airport (Tamil Nadu),0.0,0.00017023117673190812,0.0,0,1,0,4,0.0,0.0,0.0,4.0,33.42020202020201,1.0,4.0,1.0,33.42020202020201,0.0060928848667457965,0.0,0.0,0.005215123859191656,0.0010112269969073187,0.0012958315210651607
