source_center,destination_center,leg_count,median_delay_ratio,mean_delay_ratio,p75_delay_ratio,median_actual_minutes,median_osrm_minutes,median_osrm_km,total_excess_minutes,late_rate,ftl_share
IND517644AAA,IND524132AAA,11,2.1142857142857143,2.0928768201495473,2.280952380952381,74.0,35.0,45.097,3.455714285714336,0.18181818181818182,1.0
IND518002AAA,IND501359AAE,12,1.84375,1.8683021180586359,1.9780585106382977,265.0,143.5,199.60555,0.41102941176472996,0.08333333333333333,1.0
IND518002AAA,IND509124AAA,3,1.6,3.077659574468085,3.925,72.0,47.0,61.3278,197.88,0.3333333333333333,1.0
IND518002AAA,IND518401AAA,7,1.935483870967742,1.879739960500329,2.133928571428571,60.0,31.0,31.7606,0.041666666666671404,0.14285714285714285,1.0
IND518002AAA,IND518501AAA,14,1.5080645161290323,1.4950611494897335,1.5800060496067756,86.5,57.0,71.74279999999999,0.0,0.0,1.0
IND518002AAA,IND562132AAA,10,1.5235391588284029,1.5082186251667946,1.5320422535211269,433.0,285.0,346.81885,0.0,0.0,1.0
IND518002AAA,IND584101AAA,10,1.8128574696865707,1.8399069625562419,1.9111111111111112,169.5,93.0,101.94005,0.0,0.0,1.0
IND518102AAA,IND518002AAA,10,1.9694656488549618,1.9783807500135815,2.051050922761449,258.0,132.0,176.06165,0.0,0.0,1.0
IND518124AAA,IND518206AAA,6,1.65,1.6928571428571428,1.8053571428571429,33.0,21.0,19.491799999999998,0.0,0.0,1.0
IND518206AAA,IND518222AAA,3,1.2666666666666666,1.4126262626262627,1.4856060606060606,57.0,45.0,36.512,0.0,0.0,1.0
IND518222AAA,IND518002AAA,4,1.4815509693558475,1.472918341820781,1.754120879120879,59.0,41.5,54.467150000000004,0.0,0.0,1.0
IND518401AAA,IND518422AAB,6,2.378205128205128,2.259797332297332,2.435769230769231,62.0,25.5,36.5498,0.49458041958043,0.16666666666666666,1.0
IND518422AAB,IND518102AAA,10,2.019230769230769,2.0467203848782796,2.10082023239918,154.5,77.0,108.5009,0.0,0.0,1.0
IND518501AAA,IND518124AAA,11,2.7857142857142856,2.714115705495016,3.074074074074074,76.0,28.0,37.8372,36.46116071428577,0.2727272727272727,1.0
IND520011AAA,IND521185AAA,5,2.8181818181818183,2.6864304812834225,3.176470588235294,93.0,32.0,46.6945,36.72500000000001,0.6,0.0
IND521001AAA,IND521225AAB,4,2.2223719676549862,2.2188158539573632,2.3067722371967654,121.0,55.5,74.4136,0.0,0.0,1.0
IND521105AAA,IND521333AAA,4,2.4154040404040407,2.412247474747475,2.4810606060606064,107.5,44.0,43.65745,3.4580246913580197,0.25,1.0
IND521105AAA,IND534001AAA,3,1.8235294117647058,1.886710239651416,1.941176470588235,32.0,17.0,18.558,0.0,0.0,1.0
IND521185AAA,IND521225AAB,4,2.3782828282828286,2.433459595959596,2.8174242424242424,106.0,44.0,58.30970000000001,38.092334455667796,0.5,0.0
IND521225AAB,IND501359AAE,6,1.7490196078431373,1.9071917393724995,2.058283155781998,446.0,255.0,316.0443,73.71860962566859,0.3333333333333333,1.0
IND521225AAB,IND507002AAA,14,1.8008620689655173,2.0453189758504204,2.0541952707856597,208.0,115.0,154.21025,298.5851451905627,0.21428571428571427,1.0
IND521225AAB,IND521201AAA,15,1.6226415094339623,2.063788098693759,1.6981132075471699,85.0,53.0,52.9994,322.70000000000005,0.13333333333333333,1.0
IND521225AAB,IND521301AAA,13,1.8666666666666667,2.3089931345250494,2.723404255319149,84.0,45.0,61.0652,235.7440740740741,0.3076923076923077,1.0
