source_center,destination_center,legs,median_delay_ratio,late_rate,late_rate_raw,excess_minutes,excess_minutes_uncapped,median_actual_minutes,median_osrm_minutes,median_osrm_km,ftl_share,sla_contribution_pct,is_chronic_raw,is_chronic_calibrated,is_credible_priority,source_facility,destination_facility,corridor
IND134109AAA,IND160002AAC,15,12.837837837837839,0.8666666666666667,1.0,1801.4203667953673,1801.4203667953673,475.0,37.0,43.66,0.0,0.5427914745025586,1,1,0,Chandigarh_Panchkula (Chandigarh),Chandigarh_Mehmdpur_H (Punjab),Chandigarh_Panchkula (Chandigarh) -> Chandigarh_Mehmdpur_H (Punjab)
IND802212AAA,IND821115AAB,7,23.738095238095237,0.8571428571428571,1.0,1798.4602391333738,3907.2310810810814,962.0,41.0,44.7679,1.0,0.5418995493928035,1,1,0,Bikramgang_Dehrird_D (Bihar),Sasaram_Central_I_2 (Bihar),Bikramgang_Dehrird_D (Bihar) -> Sasaram_Central_I_2 (Bihar)
IND421302AAG,IND400102AAC,62,2.6685185185185185,0.41935483870967744,1.0,1675.0073863636364,1675.0073863636364,77.5,28.0,32.98825,0.0,0.5047015931458455,1,0,1,Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_Jogshwri_I (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra) -> Mumbai_Jogshwri_I (Maharashtra)
IND400102AAC,IND421302AAG,28,3.759259259259259,0.5357142857142857,1.0,1637.673055555556,1637.673055555556,101.5,29.5,32.823800000000006,0.0,0.49345227186447554,1,1,0,Mumbai_Jogshwri_I (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_Jogshwri_I (Maharashtra) -> Bhiwandi_Mankoli_HB (Maharashtra)
IND421302AAG,IND000000AFT,54,2.5,0.37037037037037035,1.0,1570.9668859649123,1570.9668859649123,50.0,20.0,22.6321,0.0,0.47335283210132106,1,0,1,Bhiwandi_Mankoli_HB (Maharashtra),Mumbai_Sanpada_I (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra) -> Mumbai_Sanpada_I (Maharashtra)
IND131028AAB,IND244001AAA,19,1.9440993788819876,0.42105263157894735,1.0,1558.9499999999998,1558.9499999999998,313.0,159.0,201.2372,1.0,0.46973198747668327,1,0,0,Sonipat_Kundli_H (Haryana),Moradabad_DC (Uttar Pradesh),Sonipat_Kundli_H (Haryana) -> Moradabad_DC (Uttar Pradesh)
IND411033AAA,IND421302AAG,107,1.9904761904761905,0.2523364485981308,1.0,1533.0759163639432,1533.0759163639432,201.0,101.0,129.6487,1.0,0.46193578828459714,1,0,1,Pune_Tathawde_H (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),Pune_Tathawde_H (Maharashtra) -> Bhiwandi_Mankoli_HB (Maharashtra)
IND160002AAC,IND000000ACB,66,1.9905436823750335,0.22727272727272727,1.0,1528.6221340426143,1556.071216904595,421.0,211.0,280.26784999999995,1.0,0.4605938055259542,1,0,1,Chandigarh_Mehmdpur_H (Punjab),Gurgaon_Bilaspur_HB (Haryana),Chandigarh_Mehmdpur_H (Punjab) -> Gurgaon_Bilaspur_HB (Haryana)
IND560300AAA,IND562132AAA,108,1.83,0.3425925925925926,0.9907407407407407,1524.8078846153842,1524.8078846153842,91.0,50.0,40.6043,0.0,0.4594445223775629,1,0,1,Bengaluru_KGAirprt_HB (Karnataka),Bangalore_Nelmngla_H (Karnataka),Bengaluru_KGAirprt_HB (Karnataka) -> Bangalore_Nelmngla_H (Karnataka)
IND342301AAA,IND342005AAD,14,5.859375,0.7857142857142857,1.0,1517.0319825228864,1587.6504582923242,750.0,127.0,163.3495,1.0,0.45710154156077404,1,1,0,Phalodi_PalikDPP_D (Rajasthan),Jodhpur_Basni_I (Rajasthan),Phalodi_PalikDPP_D (Rajasthan) -> Jodhpur_Basni_I (Rajasthan)
IND712311AAA,IND781018AAB,8,3.186663403630482,1.0,1.0,1502.4363239462498,2612.0598540145993,2184.5,687.0,953.4926499999999,1.0,0.45270367908171144,1,1,0,Kolkata_Dankuni_HB (West Bengal),Guwahati_Hub (Assam),Kolkata_Dankuni_HB (West Bengal) -> Guwahati_Hub (Assam)
IND743270AAA,IND712311AAA,5,15.35135135135135,1.0,1.0,1498.7168659444783,4106.3155405405405,1136.0,73.0,98.5604,1.0,0.4515829578273362,1,1,0,Helencha_ColnyDPP_D (West Bengal),Kolkata_Dankuni_HB (West Bengal),Helencha_ColnyDPP_D (West Bengal) -> Kolkata_Dankuni_HB (West Bengal)
IND847223AAA,IND842001AAA,15,10.296875,0.8666666666666667,1.0,1470.6003296703307,1470.6003296703307,659.0,65.0,85.8712,1.0,0.44311107837962105,1,1,0,Benipatti_WardNo1_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),Benipatti_WardNo1_D (Bihar) -> Muzaffrpur_Bbganj_I (Bihar)
IND422011AAD,IND421302AAG,21,2.288659793814433,0.5238095238095238,1.0,1469.22300107704,1989.0564497180458,212.0,97.0,136.2216,1.0,0.4426960712930981,1,1,0,Nashik_TgrniaRD_I (Maharashtra),Bhiwandi_Mankoli_HB (Maharashtra),Nashik_TgrniaRD_I (Maharashtra) -> Bhiwandi_Mankoli_HB (Maharashtra)
IND000000ACB,IND131028AAB,92,2.074076147816349,0.2608695652173913,1.0,1444.2598484848477,1444.2598484848477,200.0,97.0,86.35195000000002,0.0,0.43517434751695766,1,0,1,Gurgaon_Bilaspur_HB (Haryana),Sonipat_Kundli_H (Haryana),Gurgaon_Bilaspur_HB (Haryana) -> Sonipat_Kundli_H (Haryana)
IND713205AAB,IND712311AAA,12,7.5160826594788865,0.8333333333333334,1.0,1416.8888888888907,1416.8888888888907,793.0,105.0,148.60935,1.0,0.4269271200560687,1,1,0,Durgapur_Central_I_1 (West Bengal),Kolkata_Dankuni_HB (West Bengal),Durgapur_Central_I_1 (West Bengal) -> Kolkata_Dankuni_HB (West Bengal)
IND000000ACT,IND000000ACB,100,1.3585526315789473,0.42,0.71,1405.0146875000003,1405.0146875000003,57.0,42.0,43.65755,0.57,0.4233492681569687,1,0,1,Delhi_Gateway_HB (Delhi),Gurgaon_Bilaspur_HB (Haryana),Delhi_Gateway_HB (Delhi) -> Gurgaon_Bilaspur_HB (Haryana)
IND844505AAB,IND842001AAA,14,11.778846153846153,0.7142857142857143,1.0,1379.5691333240316,1555.4969594594604,606.5,52.0,73.67435,1.0,0.4156821904857647,1,1,0,HazratJandaha_HajiprRD_D (Bihar),Muzaffrpur_Bbganj_I (Bihar),HazratJandaha_HajiprRD_D (Bihar) -> Muzaffrpur_Bbganj_I (Bihar)
IND382430AAB,IND000000ACB,17,1.8523809523809525,0.4117647058823529,1.0,1368.3106600682677,1520.8801636904764,1169.0,630.0,876.2658,1.0,0.41228986551165836,1,0,0,Ahmedabad_East_H_1 (Gujarat),Gurgaon_Bilaspur_HB (Haryana),Ahmedabad_East_H_1 (Gujarat) -> Gurgaon_Bilaspur_HB (Haryana)
IND560099AAB,IND560300AAA,121,1.8333333333333333,0.4214876033057851,0.9256198347107438,1363.0930232558144,1363.0930232558144,110.0,57.0,53.1242,0.0,0.410717723422531,1,0,1,Bengaluru_Bomsndra_HB (Karnataka),Bengaluru_KGAirprt_HB (Karnataka),Bengaluru_Bomsndra_HB (Karnataka) -> Bengaluru_KGAirprt_HB (Karnataka)
